fact_id,context,claim,label,claim_type
taxi_japan,In Giappone le porte posteriori dei taxi sono automatiche e gestite dal conducente. La mancia non è prevista e a Tokyo la corsa parte da una tariffa base di circa 500 yen.,Nei taxi giapponesi bisogna sempre aprire la portiera da soli.,0,contradiction
gion,"Nel quartiere di Gion a Kyoto, dal 2024 è vietato ai turisti entrare in alcuni vicoli privati; chi viola il divieto rischia una multa di 10000 yen. Le strade pubbliche principali come Hanamikoji restano accessibili.",Dal 2024 alcuni vicoli privati di Gion sono vietati ai turisti.,1,entailment
miyajima,"L'isola di Miyajima, vicino a Hiroshima, è celebre per il torii galleggiante del santuario di Itsukushima. Il traghetto da Miyajimaguchi impiega circa 10 minuti e dal 2023 i visitatori pagano una tassa di ingresso di 100 yen.",Non esiste alcuna tassa di ingresso per Miyajima.,0,contradiction
ryokan,"Un ryokan tradizionale prevede il pernottamento su futon posati sul tatami; nel prezzo sono spesso comprese la cena kaiseki e la colazione, e il check-in si effettua solitamente tra le 15:00 e le 17:00.",Molti ryokan si trovano nelle località termali.,2,neutral_hard
golden_week,"Tra fine aprile e inizio maggio si concentra la Golden Week, il periodo di festività nazionali giapponesi: trasporti e alloggi risultano molto affollati e le tariffe aumentano in modo marcato.",Nella Golden Week i prezzi degli alloggi crollano ai minimi annuali.,0,contradiction
gion,"Nel quartiere di Gion a Kyoto, dal 2024 è vietato ai turisti entrare in alcuni vicoli privati; chi viola il divieto rischia una multa di 10000 yen. Le strade pubbliche principali come Hanamikoji restano accessibili.",A Gion si trovano numerose case da tè storiche chiamate ochaya.,2,neutral_hard
pocket_wifi,Per avere internet in viaggio in Giappone si può noleggiare un pocket WiFi o acquistare una SIM/eSIM dati; il ritiro del pocket WiFi è possibile direttamente nei banchi degli aeroporti e la riconsegna avviene spesso tramite una busta prepagata.,Alcuni izakaya applicano un piccolo coperto chiamato otoshi.,2,neutral_easy
jrpass,"Con 50000 yen si acquista il Japan Rail Pass ordinario di 7 giorni, che permette di viaggiare senza limiti sui treni JR e sugli Shinkansen Hikari e Kodama; restano esclusi i Nozomi e i Mizuho.",Il Japan Rail Pass di una settimana costa 10000 yen.,0,contradiction
fushimi_inari,"Il santuario Fushimi Inari Taisha di Kyoto è famoso per i suoi migliaia di torii rossi. L'accesso è gratuito e il santuario è aperto 24 ore su 24, tutti i giorni dell'anno.",Lungo il percorso del Fushimi Inari si trovano bancarelle di street food.,2,neutral_hard
tsuyu,"In quasi tutto il Giappone la tsuyu, la stagione delle piogge, dura più o meno da inizio giugno a metà luglio, portando precipitazioni frequenti e umidità elevata; Hokkaido resta in buona parte fuori da questo fenomeno.",Durante la tsuyu fioriscono le ortensie in molti templi.,2,neutral_hard
sapporo_snowfes,"Ogni anno, ai primi di febbraio, Sapporo ospita lo Snow Festival: nel parco Odori e in altre zone vengono esposte gigantesche sculture di neve e ghiaccio e l'accesso alle aree è gratuito.",Il festival della neve di Sapporo si tiene anche nel parco Odori.,1,entailment
fushimi_inari,"Il santuario Fushimi Inari Taisha di Kyoto è famoso per i suoi migliaia di torii rossi. L'accesso è gratuito e il santuario è aperto 24 ore su 24, tutti i giorni dell'anno.",Il santuario Fushimi Inari è celebre per i suoi torii rossi.,1,entailment
konbini,"In Giappone i minimarket (konbini) quali 7-Eleven, Lawson e FamilyMart restano aperti 24 ore su 24: vendono piatti pronti e bevande e offrono ATM, stampa documenti e pagamento delle bollette.",Nei konbini giapponesi sono disponibili sportelli bancomat.,1,entailment
kinkakuji,"Il Padiglione d'Oro (Kinkaku-ji) di Kyoto accoglie i visitatori ogni giorno dalle 9:00 alle 17:00; l'ingresso per gli adulti costa 500 yen, mentre per gli studenti di elementari e medie il prezzo è di 300 yen.",Il Padiglione d'Oro chiude alle 17:00.,1,entailment
sapporo_snowfes,"Il Sapporo Snow Festival si tiene ogni anno a inizio febbraio nel parco Odori e in altre aree della città, con enormi sculture di neve e ghiaccio; l'ingresso alle aree del festival è gratuito.",Il festival della neve di Sapporo si tiene anche nel parco Odori.,1,entailment
ghibli_museum,"Per il Museo Ghibli di Mitaka i biglietti vanno prenotati in anticipo, non esiste biglietteria in loco. Nelle sale interne fotografie e video sono vietati.",I biglietti del Museo Ghibli richiedono la prenotazione anticipata.,1,entailment
tsukiji,"A Tokyo il mercato esterno di Tsukiji vive di mattina: le bancarelle iniziano ad aprire verso le 5:00 e la maggior parte delle attività abbassa le serrande nel primo pomeriggio, attorno alle 14:00.",A Tsukiji i negozi restano aperti fino a mezzanotte.,0,contradiction
arashiyama,"La foresta di bambù di Arashiyama, a ovest di Kyoto, è accessibile gratuitamente e sempre aperta; il momento migliore per visitarla evitando la folla è la mattina presto.",Il ponte Togetsukyo è uno dei simboli di Arashiyama.,2,neutral_hard
osaka_dotonbori,"A Osaka, il quartiere di Dotonbori è celebre per le insegne al neon, tra cui il Glico Running Man, e per il cibo di strada; l'accesso è libero e la zona dà il meglio di sé la sera.",Nelle vicinanze di Dotonbori si trova la via commerciale Shinsaibashi.,2,neutral_hard
sapporo_snowfes,"Il Sapporo Snow Festival si tiene ogni anno a inizio febbraio nel parco Odori e in altre aree della città, con enormi sculture di neve e ghiaccio; l'ingresso alle aree del festival è gratuito.",A Dotonbori si trova l'insegna del Glico Running Man.,2,neutral_easy
todaiji,"A Nara, il Todai-ji ospita il Daibutsu, il Grande Buddha in bronzo di circa 15 metri di altezza; per accedere alla Sala del Grande Buddha gli adulti pagano 800 yen.",Il Todai-ji si trova a Sapporo.,0,contradiction
kinkakuji,"Il Padiglione d'Oro (Kinkaku-ji) di Kyoto accoglie i visitatori ogni giorno dalle 9:00 alle 17:00; l'ingresso per gli adulti costa 500 yen, mentre per gli studenti di elementari e medie il prezzo è di 300 yen.",Il biglietto per il Kinkaku-ji costa 1500 yen per gli adulti.,0,contradiction
gion,"Nel quartiere di Gion a Kyoto, dal 2024 è vietato ai turisti entrare in alcuni vicoli privati; chi viola il divieto rischia una multa di 10000 yen. Le strade pubbliche principali come Hanamikoji restano accessibili.",Il teatro Minamiza di Kyoto si trova ai margini di Gion.,2,neutral_hard
ichiran,La catena di ramen Ichiran è famosa per i banconi con postazioni singole separate da pannelli; si ordina tramite un distributore automatico di biglietti all'ingresso e molte sedi sono aperte 24 ore su 24.,Ichiran ha postazioni singole separate da pannelli.,1,entailment
tipping,Lasciare la mancia in Giappone non è consuetudine e nei ristoranti può addirittura mettere in imbarazzo il personale. Di norma si paga alla cassa e non al tavolo.,Lasciare la mancia in Giappone può creare imbarazzo.,1,entailment
capsule_hotel,"I capsule hotel in Giappone offrono capsule singole impilate su due file, con servizi igienici condivisi; spesso i piani sono divisi per genere e una notte costa in media tra 3000 e 6000 yen.",Ogni capsula di un capsule hotel dispone di bagno privato.,0,contradiction
teamlab,Per visitare teamLab Planets a Tokyo bisogna comprare online un biglietto con fascia oraria; un adulto paga 3800 yen. Il percorso si affronta scalzi perché in alcune sale si cammina nell'acqua.,La visita a teamLab Planets dura in media circa due ore.,2,neutral_hard
sensoji,"Il Senso-ji, nel quartiere di Asakusa a Tokyo, è il tempio più antico della città, fondato nel 645. L'ingresso al tempio è gratuito; la sala principale è aperta dalle 6:00 alle 17:00 (dalle 6:30 da ottobre a marzo).",Il Senso-ji è il tempio più antico di Tokyo.,1,entailment
gion,"A Gion, il quartiere storico di Kyoto, dal 2024 alcuni vicoli privati sono off-limits per i turisti, con multe fino a 10000 yen per i trasgressori; le vie pubbliche principali, come Hanamikoji, restano percorribili.",Al tramonto è possibile incrociare maiko dirette agli appuntamenti.,2,neutral_hard
tax_free,"Lo shopping tax-free in Giappone è riservato ai turisti stranieri: serve una spesa minima di 5000 yen nello stesso negozio e nello stesso giorno, mostrando il passaporto al momento del pagamento.",In Giappone il tax-free scatta da 100 yen di spesa.,0,contradiction
jrpass,"Il Japan Rail Pass ordinario da 7 giorni costa 50000 yen e consente viaggi illimitati sulla rete JR, inclusi gli Shinkansen Hikari e Kodama, ma non è valido sui treni Nozomi e Mizuho.",I treni Mizuho sono esclusi dal Japan Rail Pass.,1,entailment
himeji,"Il castello di Himeji, patrimonio UNESCO, è aperto dalle 9:00 alle 17:00 (ultimo ingresso alle 16:00). Il biglietto costa 1000 yen per gli adulti ed è chiuso solo il 29 e 30 dicembre.",L'ingresso al castello di Himeji costa 1000 yen per gli adulti.,1,entailment
tokyo_skytree,"La Tokyo Skytree è alta 634 metri ed è la torre più alta del Giappone; dispone di due osservatori, il Tembo Deck a 350 metri e la Tembo Galleria a 450 metri.",La Skytree si illumina con colori diversi a seconda delle ricorrenze.,2,neutral_hard
todaiji,"Il tempio Todai-ji di Nara custodisce il Grande Buddha, una statua in bronzo alta circa 15 metri. L'ingresso alla Sala del Grande Buddha costa 800 yen per gli adulti.",Il Todai-ji si trova a Sapporo.,0,contradiction
akihabara,"Akihabara, il quartiere dell'elettronica e della cultura otaku di Tokyo, la domenica pomeriggio chiude al traffico la via principale Chuo-dori, che diventa un'isola pedonale.",Al tramonto è possibile incrociare maiko dirette agli appuntamenti.,2,neutral_easy
golden_week,"Tra fine aprile e inizio maggio si concentra la Golden Week, il periodo di festività nazionali giapponesi: trasporti e alloggi risultano molto affollati e le tariffe aumentano in modo marcato.",Durante la Golden Week treni e hotel sono semivuoti.,0,contradiction
golden_week,La Golden Week giapponese è una serie di festività nazionali che cade tra la fine di aprile e l'inizio di maggio: in quei giorni treni e hotel sono estremamente affollati e i prezzi salgono sensibilmente.,Il cinema interno del Museo Ghibli proietta cortometraggi esclusivi.,2,neutral_easy
universal_osaka,"Gli Universal Studios Japan di Osaka richiedono il biglietto d'ingresso (Studio Pass); per l'area di Super Nintendo World nei giorni affollati serve anche un biglietto a orario (timed entry ticket), gratuito, da prenotare tramite l'app ufficiale.",Agli Universal Studios Japan esistono pass Express a pagamento per saltare le code.,2,neutral_hard
pocket_wifi,In Giappone i turisti possono connettersi noleggiando un pocket WiFi oppure comprando una SIM o eSIM dati; il dispositivo si ritira ai banchi in aeroporto e si restituisce di frequente con una busta prepagata.,Un pocket WiFi può connettere più dispositivi contemporaneamente.,2,neutral_hard
ghibli_museum,"Per il Museo Ghibli di Mitaka i biglietti vanno prenotati in anticipo, non esiste biglietteria in loco. Nelle sale interne fotografie e video sono vietati.",Il Museo Ghibli si raggiunge con una passeggiata dal parco Inokashira.,2,neutral_hard
todaiji,"A Nara, il Todai-ji ospita il Daibutsu, il Grande Buddha in bronzo di circa 15 metri di altezza; per accedere alla Sala del Grande Buddha gli adulti pagano 800 yen.",Il Grande Buddha del Todai-ji è alto 50 centimetri.,0,contradiction
ghibli_museum,"Il Museo Ghibli di Mitaka, a Tokyo, vende i biglietti solo su prenotazione anticipata: non è possibile acquistarli in loco. All'interno del museo è vietato fotografare e filmare.",Il Museo Ghibli si raggiunge con una passeggiata dal parco Inokashira.,2,neutral_hard
suica,"Suica e Pasmo sono carte prepagate valide su metro, treni e bus a Tokyo e in molte regioni del Giappone; si possono usare anche per pagare nei minimarket e ai distributori automatici.",La Suica è valida solo sulla metropolitana e non nei negozi.,0,contradiction
kanazawa_kenrokuen,"A Kanazawa, il Kenroku-en — annoverato tra i tre giardini più celebri del Giappone — ha un ingresso di 320 yen per gli adulti; da marzo a metà ottobre gli orari vanno dalle 7:00 alle 18:00.",Il Kenroku-en è aperto solo di notte.,0,contradiction
ghibli_museum,"Il Museo Ghibli di Mitaka, a Tokyo, vende i biglietti solo su prenotazione anticipata: non è possibile acquistarli in loco. All'interno del museo è vietato fotografare e filmare.",All'interno del Museo Ghibli si può fotografare liberamente.,0,contradiction
shibuya_sky,"Shibuya Sky è la terrazza panoramica in cima allo Shibuya Scramble Square, al 47° piano, 229 metri sopra la città. Gli orari di apertura vanno dalle 10:00 alle 22:30 e l'ultimo ingresso è consentito alle 21:20.",Shibuya Sky si trova a 229 metri di altezza.,1,entailment
pocket_wifi,In Giappone i turisti possono connettersi noleggiando un pocket WiFi oppure comprando una SIM o eSIM dati; il dispositivo si ritira ai banchi in aeroporto e si restituisce di frequente con una busta prepagata.,Il pocket WiFi si può ritirare in aeroporto in Giappone.,1,entailment
luggage_forward,"Il servizio di spedizione bagagli takkyubin permette di inviare le valigie da un hotel all'altro in Giappone, in genere con consegna il giorno successivo e un costo di circa 2000-3000 yen a collo.",Yamato Transport è uno dei principali operatori di takkyubin.,2,neutral_hard
tsuyu,"La stagione delle piogge (tsuyu) in gran parte del Giappone va all'incirca da inizio giugno a metà luglio, con piogge frequenti e alta umidità; Hokkaido ne è in gran parte esclusa.",Durante la tsuyu fioriscono le ortensie in molti templi.,2,neutral_hard
ichiran,La catena di ramen Ichiran è famosa per i banconi con postazioni singole separate da pannelli; si ordina tramite un distributore automatico di biglietti all'ingresso e molte sedi sono aperte 24 ore su 24.,Da Ichiran si ordina tramite un distributore di biglietti.,1,entailment
tsuyu,"La stagione delle piogge (tsuyu) in gran parte del Giappone va all'incirca da inizio giugno a metà luglio, con piogge frequenti e alta umidità; Hokkaido ne è in gran parte esclusa.",La stagione delle piogge in Giappone va circa da inizio giugno a metà luglio.,1,entailment
universal_osaka,"Gli Universal Studios Japan di Osaka richiedono il biglietto d'ingresso (Studio Pass); per l'area di Super Nintendo World nei giorni affollati serve anche un biglietto a orario (timed entry ticket), gratuito, da prenotare tramite l'app ufficiale.",Il Tembo Deck si trova a 350 metri di altezza.,2,neutral_easy
sapporo_snowfes,"Ogni anno, ai primi di febbraio, Sapporo ospita lo Snow Festival: nel parco Odori e in altre zone vengono esposte gigantesche sculture di neve e ghiaccio e l'accesso alle aree è gratuito.",Durante il festival vengono organizzati anche scivoli di neve per bambini.,2,neutral_hard
shoes_off,"In Giappone è obbligatorio togliersi le scarpe prima di entrare nelle case private, nei ryokan e in molti templi; all'ingresso (genkan) si trovano spesso pantofole da indossare all'interno.",In molti templi giapponesi è necessario togliersi le scarpe.,1,entailment
fushimi_inari,"Il santuario Fushimi Inari Taisha di Kyoto è famoso per i suoi migliaia di torii rossi. L'accesso è gratuito e il santuario è aperto 24 ore su 24, tutti i giorni dell'anno.",Molte bancarelle di Tsukiji aprono intorno alle 5:00.,2,neutral_easy
onsen_tattoo,In molti onsen tradizionali giapponesi l'ingresso alle persone tatuate è ancora vietato o limitato; alcune strutture consentono l'accesso se il tatuaggio viene coperto con un cerotto. Prima di entrare in vasca è obbligatorio lavarsi accuratamente il corpo.,L'acqua degli onsen è ricca di minerali con proprietà diverse.,2,neutral_hard
nara_deer,Nel parco di Nara vivono in libertà oltre mille cervi sika considerati messaggeri divini; i visitatori possono nutrirli solo con gli appositi cracker shika senbei venduti nel parco a circa 200 yen.,Il Grande Buddha del Todai-ji si trova vicino al parco di Nara.,2,neutral_hard
luggage_forward,"Con il takkyubin, il servizio giapponese di trasporto bagagli, si possono spedire le valigie tra hotel: la consegna avviene di solito il giorno dopo e il prezzo è di circa 2000-3000 yen a valigia.",Molti viaggiatori usano il takkyubin per spedire i bagagli in aeroporto.,2,neutral_hard
shinkansen_tokyo_kyoto,Il treno ad alta velocità Nozomi impiega circa 2 ore e 15 minuti da Tokyo a Kyoto; la sola andata con posto riservato costa intorno ai 14000 yen.,Il Nozomi impiega 45 minuti da Tokyo a Kyoto.,0,contradiction
plug_voltage,In Giappone le prese elettriche sono di tipo A con due lamelle piatte e la tensione è di 100 volt; i viaggiatori europei hanno bisogno di un adattatore.,Un viaggiatore europeo ha bisogno di un adattatore in Giappone.,1,entailment
onigiri_price,"Mangiare in Giappone può essere economico: un pasto in una catena di gyudon come Yoshinoya o Sukiya costa circa 500-700 yen, mentre un ramen in un locale medio si aggira sui 1000 yen.",In Giappone l'acqua al ristorante viene servita gratuitamente.,2,neutral_hard
visa_italy,Per motivi turistici i cittadini italiani non necessitano di visto per il Giappone fino a 90 giorni di permanenza; è richiesto un passaporto valido per l'intero soggiorno.,Il modulo di ingresso si può precompilare online con Visit Japan Web.,2,neutral_hard
ryokan,Nei ryokan tradizionali si dorme su futon stesi sul tatami e la tariffa include spesso la cena kaiseki e la colazione; il check-in avviene in genere tra le 15:00 e le 17:00.,La cena kaiseki è composta da numerose piccole portate stagionali.,2,neutral_hard
taxi_japan,"Nei taxi giapponesi le portiere posteriori si aprono e si chiudono automaticamente, comandate dall'autista. Non è consuetudine lasciare la mancia e la tariffa base a Tokyo parte da circa 500 yen.",A Tokyo la tariffa base del taxi parte da circa 500 yen.,1,entailment
onigiri_price,"Mangiare in Giappone può essere economico: un pasto in una catena di gyudon come Yoshinoya o Sukiya costa circa 500-700 yen, mentre un ramen in un locale medio si aggira sui 1000 yen.",Un ramen medio in Giappone costa almeno 10000 yen.,0,contradiction
train_etiquette,"In Giappone sui mezzi su rotaia si evita di telefonare e si tiene il telefono in modalità silenziosa; in alcune linee, nelle ore di punta, esistono vagoni riservati alle sole donne.",Nelle stazioni giapponesi le persone si mettono in fila ai punti segnati a terra.,2,neutral_hard
akihabara,"A Tokyo, il quartiere di Akihabara — regno dell'elettronica e della cultura otaku — trasforma la domenica pomeriggio la sua via principale, la Chuo-dori, in una zona pedonale chiusa alle auto.",Per raggiungere il parco delle scimmie serve una camminata di circa 30 minuti.,2,neutral_easy
hiroshima_peace,"A Hiroshima, il Museo Memoriale della Pace costa 200 yen per gli adulti; apre alle 8:30 e l'orario di chiusura cambia in base alla stagione.",Il Museo della Pace di Hiroshima costa 2000 yen per gli adulti.,0,contradiction
nara_deer,"Il parco di Nara ospita più di mille cervi sika in libertà, ritenuti messaggeri degli dei; è consentito dar loro da mangiare soltanto gli shika senbei, i cracker dedicati venduti nel parco a circa 200 yen.",Nel parco di Nara è vietato avvicinarsi ai cervi.,0,contradiction
shoes_off,"Entrando in una casa giapponese, in un ryokan o in molti templi bisogna togliersi le scarpe nel genkan, l'area di ingresso, dove di solito sono disponibili pantofole per l'interno.",Nei templi giapponesi è obbligatorio tenere le scarpe ai piedi.,0,contradiction
kinkakuji,"Il Kinkaku-ji, il celebre Padiglione d'Oro di Kyoto, è aperto tutti i giorni dalle 9:00 alle 17:00. Il biglietto d'ingresso costa 500 yen per gli adulti e 300 yen per gli studenti delle scuole elementari e medie.",L'ingresso al Padiglione d'Oro di Kyoto è gratuito.,0,contradiction
ichiran,La catena di ramen Ichiran è famosa per i banconi con postazioni singole separate da pannelli; si ordina tramite un distributore automatico di biglietti all'ingresso e molte sedi sono aperte 24 ore su 24.,Da Ichiran si ordina esclusivamente tramite camerieri al tavolo.,0,contradiction
taxi_japan,"Nei taxi giapponesi le portiere posteriori si aprono e si chiudono automaticamente, comandate dall'autista. Non è consuetudine lasciare la mancia e la tariffa base a Tokyo parte da circa 500 yen.",Di notte le tariffe dei taxi giapponesi prevedono un supplemento.,2,neutral_hard
sakura,La stagione dei sakura a Tokyo e Kyoto cade solitamente tra fine marzo e i primi di aprile; il picco della fioritura dura all'incirca una settimana.,Durante la fioritura molti giapponesi fanno picnic hanami nei parchi.,2,neutral_hard
shoes_off,"Entrando in una casa giapponese, in un ryokan o in molti templi bisogna togliersi le scarpe nel genkan, l'area di ingresso, dove di solito sono disponibili pantofole per l'interno.",Per le toilette giapponesi esistono spesso pantofole dedicate separate.,2,neutral_hard
tipping,"In Giappone non esiste la cultura della mancia: lasciarla nei ristoranti può risultare scortese o creare imbarazzo. Il conto si paga generalmente alla cassa, non al tavolo.",In Giappone è considerato obbligatorio lasciare almeno il 10% di mancia.,0,contradiction
teamlab,Per visitare teamLab Planets a Tokyo bisogna comprare online un biglietto con fascia oraria; un adulto paga 3800 yen. Il percorso si affronta scalzi perché in alcune sale si cammina nell'acqua.,Il biglietto per teamLab Planets costa 1000 yen per gli adulti.,0,contradiction
himeji,"Patrimonio dell'umanità UNESCO, il castello di Himeji si visita dalle 9:00 alle 17:00 con ultimo accesso alle 16:00; gli adulti pagano 1000 yen e il castello chiude soltanto il 29 e il 30 dicembre.",Da Osaka si raggiunge Himeji in circa un'ora di treno.,2,neutral_hard
tsuyu,"In quasi tutto il Giappone la tsuyu, la stagione delle piogge, dura più o meno da inizio giugno a metà luglio, portando precipitazioni frequenti e umidità elevata; Hokkaido resta in buona parte fuori da questo fenomeno.",In estate il Giappone può essere interessato dai tifoni.,2,neutral_hard
osaka_dotonbori,"A Osaka, il quartiere di Dotonbori è celebre per le insegne al neon, tra cui il Glico Running Man, e per il cibo di strada; l'accesso è libero e la zona dà il meglio di sé la sera.",A Dotonbori si trova l'insegna del Glico Running Man.,1,entailment
shoes_off,"Entrando in una casa giapponese, in un ryokan o in molti templi bisogna togliersi le scarpe nel genkan, l'area di ingresso, dove di solito sono disponibili pantofole per l'interno.",Il genkan è l'area d'ingresso dove si lasciano le scarpe.,1,entailment
tsukiji,"A Tokyo il mercato esterno di Tsukiji vive di mattina: le bancarelle iniziano ad aprire verso le 5:00 e la maggior parte delle attività abbassa le serrande nel primo pomeriggio, attorno alle 14:00.",Molte bancarelle di Tsukiji aprono intorno alle 5:00.,1,entailment
konbini,"I konbini giapponesi come 7-Eleven, Lawson e FamilyMart sono aperti 24 ore su 24 e offrono cibo pronto, bevande, prelievo bancomat e servizi come la stampa di documenti e il pagamento delle bollette.",I konbini giapponesi chiudono tutti alle 18:00.,0,contradiction
ghibli_museum,"Il Museo Ghibli di Mitaka, a Tokyo, vende i biglietti solo su prenotazione anticipata: non è possibile acquistarli in loco. All'interno del museo è vietato fotografare e filmare.",I biglietti del Museo Ghibli si comprano comodamente alla cassa il giorno stesso.,0,contradiction
train_etiquette,"In Giappone sui mezzi su rotaia si evita di telefonare e si tiene il telefono in modalità silenziosa; in alcune linee, nelle ore di punta, esistono vagoni riservati alle sole donne.",Sui treni giapponesi non è educato parlare al telefono.,1,entailment
fuji_climbing,"Il monte Fuji si può scalare ufficialmente da inizio luglio a inizio settembre, quando sentieri e rifugi sono operativi. Sul sentiero Yoshida, dal 2024, è richiesto un contributo di 2000 yen a persona.",L'accesso al sentiero Yoshida è completamente gratuito.,0,contradiction
shibuya_sky,"Shibuya Sky è la terrazza panoramica in cima allo Shibuya Scramble Square, al 47° piano, 229 metri sopra la città. Gli orari di apertura vanno dalle 10:00 alle 22:30 e l'ultimo ingresso è consentito alle 21:20.",I biglietti per Shibuya Sky al tramonto si esauriscono con giorni di anticipo.,2,neutral_hard
ichiran,"Da Ichiran, nota catena di ramen, si mangia in postazioni individuali divise da pannelli; l'ordine si effettua alla macchinetta dei biglietti all'entrata e diversi locali restano aperti 24 ore su 24.",Ichiran ha postazioni singole separate da pannelli.,1,entailment
sapporo_snowfes,"Il Sapporo Snow Festival si tiene ogni anno a inizio febbraio nel parco Odori e in altre aree della città, con enormi sculture di neve e ghiaccio; l'ingresso alle aree del festival è gratuito.",L'ingresso alle aree del Sapporo Snow Festival è gratuito.,1,entailment
visa_italy,"I cittadini italiani possono entrare in Giappone per turismo senza visto per soggiorni fino a 90 giorni, con passaporto valido per tutta la durata del viaggio.",Un turista italiano può stare in Giappone fino a 90 giorni senza visto.,1,entailment
